country_next,Frequency
China,31283
Malaysia,13824
United States of America,9498
Singapore,9198
Japan,8966
Hong Kong,8963
Turkey,8484
Taiwan (Province of China),7919
Indonesia,7172
India,6838
Viet Nam,6808
Korea (the Republic of),6576
United Arab Emirates,5955
Brazil,4798
Philippines,4464
Spain,4382
Italy,4321
Panama,3765
Egypt,3763
Mexico,3580
Morocco,2921
Guatemala,2738
Netherlands,2734
Thailand,2541
Costa Rica,2477
Saudi Arabia,2173
Colombia,2148
Germany,1955
Australia,1918
Canada,1756
Oman,1697
New Zealand,1617
Honduras,1513
Greece,1492
Sri Lanka,1474
Russia,1467
United Kingdom of Great Britain and Northern Ireland,1352
France,1231
Bangladesh,1126
Kuwait,1126
Dominican Republic,1028
South Africa,1008
Qatar,986
Lebanon,974
Pakistan,912
Peru,894
Jamaica,846
Ecuador,835
Tanzania  United Republic of,822
Argentina,816
Côte d'Ivoire,778
Israel,770
Papua New Guinea,742
Belgium,689
Bahamas,583
Kenya,577
Romania,545
Puerto Rico,526
Malta,524
Nicaragua,517
El Salvador,506
Poland,483
Iraq,474
Bahrain,464
Somalia,441
Réunion,430
Slovenia,427
Togo,420
Guinea,413
Nigeria,401
Cyprus,382
Finland,379
Mauritius,374
Lithuania,350
Iran (Islamic Republic of),342
Chile,341
Senegal,340
Angola,327
Fiji,321
Jordan,315
Trinidad and Tobago,311
Ukraine,307
Venezuela (Bolivarian Republic of),305
Madagascar,288
Sierra Leone,282
Djibouti,268
Latvia,264
Mozambique,262
Ghana,259
Sweden,238
Cameroon,223
Yemen,217
Ireland,204
Algeria,196
Seychelles,193
Portugal,187
Syrian Arab Republic,179
Bulgaria,176
Benin,175
Liberia,171
Belize,171
Croatia,157
Cuba,141
Estonia,131
French Polynesia,130
Cambodia,127
Congo,123
Myanmar,117
Uruguay,114
French Guiana,104
Denmark,100
Guam,96
Georgia,93
New Caledonia,89
Solomon Islands,87
Sint Maarten (Dutch part),87
Gabon,86
Libya,80
Sudan,80
Mayotte,73
Albania,52
Haiti,48
Mauritania,47
Montenegro,45
Curaçao,33
Aruba,32
Vanuatu,32
Guadeloupe,30
Equatorial Guinea,27
Maldives,26
Gambia,24
Comoros,24
Tonga,23
Samoa,23
Martinique,21
American Samoa,21
Marshall Islands,18
Brunei Darussalam,10
Tunisia,6
Norway,3
Suriname,3
Eritrea,3
Kiribati,1
Gibraltar,1
Guinea-Bissau,1
