Training Losses,Validation Losses
1.2297879631278008,0.6624567865029999
0.539701497636572,0.4716730652831646
0.42312637445442003,0.4043120838336268
0.3703316451777511,0.3723276138746817
0.33832591669241685,0.3486952776785252
0.3163070092655894,0.33616536319106033
0.29961899040340867,0.3283207739409166
0.28643721062109334,0.3182474973856343
0.2747394430438341,0.314571202924579
0.2653222040930756,0.31026663357348166
0.2570128204912729,0.306723658997124
0.2495067087622617,0.30419079957793604
0.24297448114160966,0.29909288030440717
0.23613822490162087,0.2979783455591744
0.2308700471667464,0.29805702487474584
0.22554183190492422,0.2960139899218104
0.2210313373332715,0.2960032768039343
0.21601999513554845,0.29811367384007065
0.21128220627228575,0.2989154869644256
0.20757176551008755,0.29852842813440494
0.20351798673963703,0.2990894702674949
0.19948691821151293,0.29987623572065325
